,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
150,Organizational Leadership,University of Virginia,SPECIALIZATION,4.7,Beginner,210k
357,Palliative Care Always,Duke University,COURSE,4.2,Beginner,20k
800,Palliative Care: It's Not Just Hospice Anymore,Berklee College of Music,COURSE,4.8,Beginner,42k
853,"Penetration Testing, Incident Response and Forensics",University of Virginia,COURSE,4.6,Mixed,32k
570,People Analytics,Amazon Web Services,COURSE,4.8,Intermediate,1.7k
732,Perfect Tenses and Modals,Google Cloud,PROFESSIONAL CERTIFICATE,4.5,Intermediate,6.2k
509,Plant Bioinformatic Methods,Emory University,COURSE,4.8,Beginner,170k
467,Politics and Economics of International Energy,Johns Hopkins University,SPECIALIZATION,4.5,Advanced,83k
791,Population Health During A Pandemic: Contact Tracing and Beyond,National Research University Higher School of Economics,COURSE,4.4,Beginner,92k
375,Positive Psychology,University of Michigan,COURSE,4.7,Beginner,73k
822,Positive Psychology: Applications and Interventions,Rice University,SPECIALIZATION,4.7,Beginner,34k
376,Power Electronics,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,24k
795,Precalculus through Data and Modelling,ESSEC Business School,COURSE,4.7,Mixed,38k
456,Preparing to Manage Human Resources,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,42k
215,Pricing Strategy Optimization,"University of California, Irvine",SPECIALIZATION,4.8,Intermediate,190k
183,Principles of Sustainable Finance,Rice University,SPECIALIZATION,4.5,Beginner,77k
120,Private Equity and Venture Capital,Università Bocconi,COURSE,4.7,Mixed,150k
700,Probabilistic Graphical Models 1: Representation,University of Washington,COURSE,4.6,Beginner,79k
561,Process Mining: Data science in Action,University of Pennsylvania,COURSE,4.7,Intermediate,21k
359,"Programming Foundations with JavaScript, HTML and CSS",SAS,PROFESSIONAL CERTIFICATE,4.7,Beginner,null
691,"Programming Languages, Part A",University of Michigan,COURSE,4.8,Beginner,32k
164,Programming with Google Go,DeepLearning.AI,COURSE,4.7,Intermediate,18k
354,Project Execution,Alberta Machine Intelligence Institute,COURSE,4.8,Intermediate,10k
259,Project Launch,University of California San Diego,SPECIALIZATION,4.4,Beginner,91k
47,Project Management & Other Tools for Career Development,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,1.1m
457,Project Planning,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,47k
606,Project Practicum with Multiple Projects,Universiteit Leiden,COURSE,4.8,Mixed,3.4k
681,Public Policy Challenges of the 21st Century,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,380k
56,Python 3 Programming,University of Virginia,SPECIALIZATION,4.7,Beginner,150k
363,Python Basics,Google,COURSE,4.8,Beginner,140k
146,Python Data Structures,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,97k
592,Python Programming: A Concise Introduction,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,150k
461,Python and Statistics for Financial Analysis,"University of California, Davis",COURSE,4.8,Beginner,110k
174,Python for Data Science and AI,Macquarie University,SPECIALIZATION,4.8,Beginner,50k
7,Python for Everybody,IBM,SPECIALIZATION,4.6,Beginner,370k
689,Quantitative Methods,University of Washington,COURSE,4.9,Intermediate,110k
386,R Programming,University of Geneva,COURSE,4.8,Beginner,30k
158,Real-World Product Management,"University of California, Santa Cruz",SPECIALIZATION,4.5,Beginner,310k
840,Reclaiming the Street for Livable Urban Spaces,University of Michigan,COURSE,4.7,Intermediate,100k
845,"Recruiting, Hiring, and Onboarding Employees",IBM,COURSE,4.6,Beginner,18k
591,Refugees in the 21st Century,University of Florida,COURSE,4.4,Beginner,18k
77,Regulatory Compliance,PwC,SPECIALIZATION,4.6,Beginner,240k
772,Reliable Google Cloud Infrastructure: Design and Process,The State University of New York,COURSE,4.6,Intermediate,8.5k
768,"Remote Sensing Image Acquisition, Analysis and Applications",Universidad Austral,COURSE,4.8,Intermediate,78k
364,Removing Barriers to Change,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,3.8k
455,Reporting extra-financier et stratégie RSE,"University of California, Irvine",COURSE,4.7,Beginner,100k
670,Requirements Engineering: Secure Software  Specifications,IE Business School,SPECIALIZATION,4.8,Beginner,26k
832,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",National Research Tomsk State University,SPECIALIZATION,4.3,Beginner,20k
373,Responsive Website Development and Design,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,240k
301,Robotics,IBM,COURSE,4.7,Beginner,160k
854,Russian Alphabet,Macquarie University,COURSE,4.7,Intermediate,100k
440,Réussir le Changement,University of Pennsylvania,COURSE,4.8,Mixed,120k
590,SAS Advanced Programmer,Wesleyan University,COURSE,4.8,Beginner,140k
519,Sales Operations/Management,University of Pennsylvania,COURSE,4.8,Beginner,34k
677,Sales Training for High Performing Teams,Emory University,COURSE,4.7,Beginner,63k
212,Salesforce Sales Development Representative,University of Pennsylvania,COURSE,4.6,Mixed,130k
688,Sample-based Learning Methods,E-Learning Development Fund,COURSE,4.9,Intermediate,50k
839,Schizophrenia,National Research University Higher School of Economics,COURSE,4.5,Beginner,110k
470,School Health for Children and Adolescents,Imperial College London,SPECIALIZATION,4.7,Beginner,14k
473,Science Literacy,Yale University,COURSE,4.9,Beginner,29k
52,Search Engine Optimization (SEO),Google - Spectrum Sharing,COURSE,4.8,Mixed,190k
544,Search Engine Optimization Fundamentals,The University of Sydney,COURSE,4.6,Intermediate,31k
859,Secure Coding Practices,IBM,COURSE,4.7,Beginner,3k
114,Security Analyst Fundamentals,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,270k
26,Security in Google Cloud Platform,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,360k
833,Seeing Through Photographs,Utrecht University,COURSE,4.6,Beginner,34k
142,Self-Driving Cars,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,14k
308,Sequence Models,The Museum of Modern Art,COURSE,4.8,Beginner,370k
416,"Sequences, Time Series and Prediction",Georgia Institute of Technology,COURSE,4.7,Mixed,680k
748,Showing 6144 total results,ESSEC Business School,COURSE,4.8,Beginner,13k
181,Showing 6144 total results,Erasmus University Rotterdam,COURSE,4.7,Intermediate,8k
199,Showing 6144 total results,"University of California, Davis",COURSE,4.7,Beginner,46k
208,Showing 6144 total results,Stanford University,COURSE,4.8,Beginner,400k
172,Showing 6144 total results,IBM,COURSE,4.6,Beginner,240k
721,Showing 6144 total results,Universidad Austral,COURSE,4.9,Beginner,14k
190,Showing 6144 total results,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,90k
730,Showing 6144 total results,"University of California, Irvine",COURSE,4.8,Intermediate,140k
739,Showing 6144 total results,DeepLearning.AI,COURSE,4.9,Beginner,17k
406,Showing 6144 total results,INSEAD,SPECIALIZATION,4.7,Beginner,8.9k
757,Showing 6144 total results,University of Michigan,COURSE,4.8,Beginner,120k
64,Showing 6144 total results,DeepLearning.AI,COURSE,4.8,Beginner,580k
478,Showing 6144 total results,University System of Georgia,SPECIALIZATION,4.8,Beginner,9.9k
847,Showing 6144 total results,ESSEC Business School,COURSE,4.8,Beginner,2.7k
55,Showing 6144 total results,IBM,PROFESSIONAL CERTIFICATE,4.5,Intermediate,7.9k
856,Showing 6144 total results,The Hong Kong University of Science and Technology,COURSE,4.9,Beginner,35k
46,Showing 6144 total results,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,150k
37,Showing 6144 total results,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,510k
865,Showing 6144 total results,University System of Georgia,SPECIALIZATION,4.5,Beginner,87k
460,Showing 6144 total results,Indian School of Business,SPECIALIZATION,4.6,Beginner,180k
28,Showing 6144 total results,IBM,PROFESSIONAL CERTIFICATE,4.5,Beginner,140k
874,Showing 6144 total results,Rutgers the State University of New Jersey,COURSE,4.6,Intermediate,20k
19,Showing 6144 total results,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,570k
10,Showing 6144 total results,University of Alberta,COURSE,4.8,Mixed,200k
883,Showing 6144 total results,University of Houston,COURSE,4.7,Beginner,2.9k
1,Showing 6144 total results,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,690k
838,Showing 6144 total results,University of Amsterdam,COURSE,4.8,Beginner,1.5k
829,Showing 6144 total results,University of California San Diego,COURSE,4.7,Beginner,51k
73,Showing 6144 total results,Columbia University,SPECIALIZATION,4.7,Beginner,76k
82,Showing 6144 total results,IBM,SPECIALIZATION,4.7,Beginner,140k
154,Showing 6144 total results,Institute for the Future,SPECIALIZATION,4.8,Beginner,27k
451,Showing 6144 total results,Arizona State University,SPECIALIZATION,4.7,Beginner,6k
145,Showing 6144 total results,University of London,COURSE,4.8,Beginner,45k
766,Showing 6144 total results,IEEE Geoscience and Remote Sensing Society,COURSE,4.8,Mixed,14k
136,Showing 6144 total results,University of Michigan,SPECIALIZATION,4.8,Beginner,69k
487,Showing 6144 total results,University of Florida,COURSE,4.6,Mixed,59k
127,Showing 6144 total results,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,210k
163,Showing 6144 total results,Yonsei University,COURSE,4.9,Beginner,680k
775,Showing 6144 total results,University of Michigan,COURSE,4.5,Intermediate,140k
118,Showing 6144 total results,Università Bocconi,COURSE,4.8,Mixed,100k
793,Showing 6144 total results,Johns Hopkins University,SPECIALIZATION,4.2,Beginner,1.5k
109,Showing 6144 total results,Google,COURSE,4.8,Beginner,270k
802,Showing 6144 total results,New York Institute of Finance,COURSE,3.9,Intermediate,19k
100,Showing 6144 total results,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,100k
91,Showing 6144 total results,University of Virginia,SPECIALIZATION,4.7,Beginner,120k
820,Showing 6144 total results,University of Pennsylvania,COURSE,4.8,Beginner,27k
784,Showing 6144 total results,University of Illinois at Urbana-Champaign,COURSE,4.4,Intermediate,9.2k
811,Showing 6144 total results,University of Michigan,COURSE,4.7,Beginner,6.2k
712,Showing 6144 total results,IBM,COURSE,4.6,Beginner,38k
469,Showing 6144 total results,Case Western Reserve University,COURSE,4.8,Mixed,120k
289,Showing 6144 total results,Johns Hopkins University,COURSE,4.8,Mixed,87k
244,Showing 6144 total results,Peking University,SPECIALIZATION,4.8,Beginner,61k
523,Showing 6144 total results,Google Cloud,COURSE,4.7,Intermediate,95k
343,Showing 6144 total results,University of Colorado System,SPECIALIZATION,4.8,Beginner,1.8k
676,Showing 6144 total results,University of Colorado System,SPECIALIZATION,4.8,Beginner,16k
253,Showing 6144 total results,University of Michigan,COURSE,4.8,Beginner,91k
604,Showing 6144 total results,"University of California, Irvine",COURSE,4.7,Beginner,23k
334,Showing 6144 total results,Amazon Web Services,COURSE,4.7,Beginner,220k
613,Showing 6144 total results,Rice University,COURSE,4.8,Beginner,61k
325,Showing 6144 total results,"University of California, Davis",COURSE,4.6,Beginner,170k
262,Showing 6144 total results,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,65k
622,Showing 6144 total results,University of Alberta,COURSE,4.6,Mixed,86k
316,Showing 6144 total results,Cloudera,SPECIALIZATION,4.8,Beginner,37k
667,Showing 6144 total results,IBM,PROFESSIONAL CERTIFICATE,5,Beginner,14k
514,Showing 6144 total results,"Nanyang Technological University, Singapore",COURSE,4.8,Mixed,78k
631,Showing 6144 total results,University of Washington,COURSE,4.8,Intermediate,140k
271,Showing 6144 total results,Duke University,SPECIALIZATION,4.6,Beginner,160k
307,Showing 6144 total results,Columbia University,COURSE,4.6,Mixed,350k
433,Showing 6144 total results,Wesleyan University,COURSE,4.7,Mixed,160k
280,Showing 6144 total results,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,54k
658,Showing 6144 total results,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,21k
424,Showing 6144 total results,University of Cape Town,COURSE,4.8,Mixed,97k
640,Showing 6144 total results,University of Pennsylvania,COURSE,4.7,Mixed,88k
505,Showing 6144 total results,"University of California, Davis",SPECIALIZATION,4.6,Beginner,24k
298,Showing 6144 total results,University of Virginia,COURSE,4.7,Beginner,120k
685,Showing 6144 total results,Autodesk,COURSE,4.7,Advanced,66k
235,Showing 6144 total results,Google Cloud,SPECIALIZATION,3.9,Intermediate,24k
649,Showing 6144 total results,National Research University Higher School of Economics,COURSE,4.5,Intermediate,33k
352,Showing 6144 total results,"University of California, Irvine",COURSE,4.3,Beginner,7.6k
388,Showing 6144 total results,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,310k
550,Showing 6144 total results,University of Virginia,COURSE,4.8,Beginner,57k
397,Showing 6144 total results,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,46k
595,Showing 6144 total results,National Research University Higher School of Economics,COURSE,4.7,Mixed,47k
541,Showing 6144 total results,Imperial College London,COURSE,4.7,Beginner,81k
703,Showing 6144 total results,University of Pennsylvania,COURSE,4.9,Mixed,5.7k
532,Showing 6144 total results,University of Virginia,COURSE,4.8,Beginner,93k
226,Showing 6144 total results,Stanford University,COURSE,4.6,Beginner,300k
559,Showing 6144 total results,Eindhoven University of Technology,COURSE,4.8,Intermediate,48k
496,Showing 6144 total results,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,23k
568,Showing 6144 total results,University of Pennsylvania,COURSE,4.5,Mixed,96k
370,Showing 6144 total results,University of London,SPECIALIZATION,4.6,Intermediate,43k
577,Showing 6144 total results,California Institute of the Arts,COURSE,4.8,Beginner,56k
415,Showing 6144 total results,University of Virginia,COURSE,4.7,Beginner,330k
694,Showing 6144 total results,The State University of New York,SPECIALIZATION,4.4,Beginner,68k
217,Showing 6144 total results,ESSEC Business School,SPECIALIZATION,4.6,Beginner,36k
361,Showing 6144 total results,University of Michigan,COURSE,4.8,Beginner,220k
586,Showing 6144 total results,University of Alberta,COURSE,4.9,Beginner,26k
442,Showing 6144 total results,Atlassian,COURSE,4.8,Mixed,59k
379,Showing 6144 total results,Erasmus University Rotterdam,COURSE,4.7,Beginner,57k
313,Site Reliability Engineering: Measuring and Managing Reliability,"University of California, Davis",SPECIALIZATION,4.6,Beginner,9.8k
223,Six Sigma Green Belt,ESSEC Business School,SPECIALIZATION,4.7,Beginner,44k
564,Six Sigma Principles,University of Colorado Boulder,COURSE,4.5,Intermediate,59k
134,Six Sigma Yellow Belt,Vanderbilt University,SPECIALIZATION,4.8,Beginner,370k
868,Social Entrepreneurship,Universidad Austral,SPECIALIZATION,4.2,Beginner,30k
565,Social Impact Strategy: Tools for Entrepreneurs and Innovators,Universiteit Leiden,COURSE,4.8,Mixed,41k
299,Social Media Management,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,130k
101,Social Media Marketing,London Business School,COURSE,4.9,Beginner,130k
596,"Social Norms, Social Change I",University of Colorado System,SPECIALIZATION,4.6,Intermediate,61k
740,Social Policy for Social Services & Health Practitioners,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,200k
193,Social Psychology,University of Michigan,SPECIALIZATION,4.7,Intermediate,39k
533,Social Work Practice: Advocating Social Justice and Change,Yale University,COURSE,4.9,Mixed,180k
421,Software Development Lifecycle,Vanderbilt University,COURSE,4.8,Beginner,370k
725,Software Processes and Agile Practices,"Royal Holloway, University of London",COURSE,4.6,Beginner,47k
65,Software Product Management,Duke University,SPECIALIZATION,4.6,Beginner,600k
692,Solar Energy System Design,E-Learning Development Fund,COURSE,4.8,Beginner,79k
826,Songwriting: Writing the Lyrics,Duke University,COURSE,4.2,Mixed,310k
399,Soporte de Tecnologías de la Información de Google,"University of California, Davis",SPECIALIZATION,4.5,Beginner,48k
419,Spacecraft Dynamics and Control,University of Minnesota,SPECIALIZATION,4.7,Intermediate,77k
545,Spanish Vocabulary: Meeting People,University of Michigan,COURSE,4.8,Mixed,150k
418,"Speak English Professionally: In Person, Online & On the Phone",Universitat Autònoma de Barcelona,SPECIALIZATION,4.6,Beginner,36k
332,Sports Marketing,Copenhagen Business School,COURSE,4.8,Beginner,26k
105,Stanford Introduction to Food and Health,Google Cloud,COURSE,4.7,Intermediate,450k
242,Statistical Analysis with R for Public Health,Google Cloud,SPECIALIZATION,4.5,Advanced,57k
95,Statistics with R,"University of California, Davis",SPECIALIZATION,4.8,Beginner,120k
651,Stochastic processes,Yale University,COURSE,4.9,Beginner,9.7k
889,Storytelling and influencing: Communicate with impact,HEC Paris,COURSE,4.8,Beginner,30k
771,Strategic Business Analytics,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,49k
796,Strategic Business Management - Microeconomics,University at Buffalo,COURSE,4.6,Beginner,120k
192,Strategic Management and Innovation,California Institute of the Arts,COURSE,4.7,Beginner,110k
825,Strategic Sales Management,Johns Hopkins University,COURSE,4.7,Beginner,43k
722,Strategising: Management for Global Competitive Advantage,Michigan State University,COURSE,4.1,Beginner,39k
449,Strategy and Sustainability,Duke University,COURSE,4.7,Beginner,43k
200,Structuring Machine Learning Projects,Rice University,SPECIALIZATION,4.7,Intermediate,43k
574,Success,Northwestern University,COURSE,4.6,Mixed,120k
607,Summary Statistics in Public Health,Advancing Women in Product,COURSE,4.7,Beginner,77k
844,Suporte em TI do Google,University of Toronto,COURSE,4.9,Beginner,26k
292,Supply Chain Analytics,University of Pittsburgh,COURSE,4.8,Beginner,55k
407,Supply Chain Logistics,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,25k
663,Supply Chain Principles,California Institute of the Arts,COURSE,4.7,Beginner,12k
394,Supporting children with difficulties in reading and writing,Wesleyan University,SPECIALIZATION,4.4,Beginner,23k
335,Survey Data Collection and Analytics,Indian School of Business,SPECIALIZATION,4.2,Beginner,110k
803,Sustainable Tourism – promoting environmental public health,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,20k
464,Swift 5 iOS Application Developer,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,150k
295,System Administration and IT Infrastructure Services,London Business School,COURSE,4.8,Mixed,79k
575,Systems Biology and Biotechnology,University of Michigan,COURSE,4.8,Beginner,51k
654,Systems Thinking In Public Health,University of Geneva,COURSE,4.7,Beginner,51k
71,"TESOL Certificate, Part 1: Teach English Now!","University of California, Davis",SPECIALIZATION,4.5,Beginner,310k
233,"TESOL Certificate, Part 2: Teach English Now!",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,100k
483,Teach English Now! Foundational Principles,Technische Universität München (TUM),SPECIALIZATION,4.6,Intermediate,2.4k
34,Technical Support Fundamentals,DeepLearning.AI,SPECIALIZATION,4.6,Intermediate,65k
286,TensorFlow: Data and Deployment,Ticket for Change,COURSE,4.7,Mixed,59k
331,Terrorism and Counterterrorism: Comparing Theory and Practice,IBM,COURSE,4.6,Beginner,120k
573,The Addicted Brain,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,59k
582,The Art of Music Production,University of Geneva,COURSE,4.7,Beginner,110k
159,The Art of Sales: Mastering the Selling Process,University of Michigan,SPECIALIZATION,4.7,Intermediate,220k
96,The Bits and Bytes of Computer Networking,Johns Hopkins University,COURSE,4.8,Mixed,430k
110,The Business of Health Care,Berklee College of Music,SPECIALIZATION,4.7,Beginner,160k
119,The Business of Music Production,Macquarie University,COURSE,4.9,Beginner,500k
609,The Business of Product Management I,Peking University,SPECIALIZATION,4.8,Beginner,36k
785,The Cycle: Management of Successful Arts and Cultural Organizations,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,160k
112,The DIY Musician,IBM,SPECIALIZATION,4.7,Beginner,13k
863,The Global Financial Crisis,McMaster University,COURSE,4.7,Beginner,39k
704,The Introduction to Quantum Computing,Saint Petersburg State University,COURSE,4.7,Mixed,48k
389,The Manager's Toolkit: A Practical Guide to Managing People at Work,Duke University,COURSE,4.8,Mixed,84k
552,"The Modern World, Part Two: Global History since 1910",Coursera Project Network,GUIDED PROJECT,4.7,Beginner,22k
479,The Pronunciation of American English,Duke University,COURSE,4.8,Beginner,16k
759,The Science of Success: What Researchers Know that You Should Know,Yonsei University,SPECIALIZATION,4.7,Beginner,58k
593,The Science of Training Young Athletes,University of Toronto,COURSE,5,Beginner,140k
29,The Science of Well-Being,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,960k
106,The Singer Songwriter,University of Michigan,SPECIALIZATION,4.6,Beginner,80k
673,The Social Context of Mental Health and Illness,University of Florida,COURSE,4.6,Mixed,64k
230,The Strategy of Content Marketing,IE Business School,SPECIALIZATION,4.5,Beginner,99k
344,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",Vanderbilt University,COURSE,4.7,Beginner,57k
157,Tools for Data Science,Northwestern University,SPECIALIZATION,4.7,Beginner,35k
337,Trading Strategies in Emerging Markets,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.6,Intermediate,21k
224,U.S. Federal Taxation,Stanford University,COURSE,4.8,Mixed,290k
70,UCI Project Management,University of Alberta,SPECIALIZATION,4.7,Intermediate,120k
48,UI / UX Design,Yale University,COURSE,4.8,Beginner,520k
579,UX Design Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,72k
426,Understanding Clinical Research: Behind the Statistics,Duke University,COURSE,4.7,Mixed,170k
650,Understanding Einstein: The Special Theory of Relativity,Howard Hughes Medical Institute ,COURSE,4.8,Intermediate,35k
584,Understanding Financial Markets,University of London,COURSE,4.7,Beginner,42k
597,Understanding International Relations Theory,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,94k
737,Understanding Modern Finance,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,84k
668,Understanding Plants - Part I: What a Plant Knows,University of Colorado System,SPECIALIZATION,4.6,Beginner,20k
385,Understanding Research Methods,University of Pennsylvania,COURSE,4.7,Beginner,18k
377,Understanding and Visualizing Data with Python,"University of California, Irvine",COURSE,4.7,Mixed,210k
835,Understanding child development: from synapse to society,University of Colorado System,COURSE,4.8,Beginner,23k
247,Understanding the Brain: The Neurobiology of Everyday Life,Google Cloud,COURSE,4.7,Intermediate,180k
620,Unity Certified 3D Artist,Imperial College London,SPECIALIZATION,4.8,Beginner,15k
600,Unity Certified Programmer Exam Preparation,Imperial College London,COURSE,4.9,Intermediate,14k
781,Unraveling the Cycling City,Copenhagen Business School,COURSE,4.8,Mixed,78k
807,"Urban Nature: Connecting Cities, Nature and Innovation",Universidad Austral,COURSE,4.8,Beginner,220k
86,User Experience Research and Design,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,130k
476,User Interface Design,University of Geneva,COURSE,4.9,Intermediate,9k
272,Using Python to Access Web Data,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,180k
517,Using Python to Interact with the Operating System,West Virginia University,SPECIALIZATION,4.5,Beginner,13k
731,Verb Tenses and Passives,Duke University,COURSE,4.5,Beginner,270k
444,Version Control with Git,University of Michigan,SPECIALIZATION,4.7,Beginner,29k
187,Viral Marketing and How to Craft Contagious Content,University of Virginia,COURSE,4.7,Beginner,240k
403,Virtual Reality,Rice University,SPECIALIZATION,4.5,Intermediate,39k
194,Visual Elements of User Interface Design,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,390k
290,Vital Signs: Understanding What the Body Is Telling Us,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,35k
161,Web Applications for Everybody,Imperial College London,SPECIALIZATION,4.9,Intermediate,16k
74,Web Design for Everybody: Basics of Web Development & Coding,Stanford University,SPECIALIZATION,4.8,Intermediate,180k
511,Weight Management: Beyond Balancing Calories,DeepLearning.AI,COURSE,4.8,Intermediate,100k
878,What Is Contemporary Art?,Johns Hopkins University,COURSE,4.7,Beginner,26k
448,What is Compliance?,University of Michigan,COURSE,4.8,Mixed,140k
265,Wind Energy,University of Pennsylvania,COURSE,3.9,Beginner,9.5k
201,Wine Tasting: Sensory Techniques for Wine Analysis,University of Minnesota,SPECIALIZATION,4.8,Beginner,35k
724,Write Your First Novel,IESE Business School,COURSE,4.8,Beginner,74k
454,Writing and Editing: Word Choice and Word Order,University of Minnesota,COURSE,4.8,Mixed,120k
113,Writing in the Sciences,Berklee College of Music,SPECIALIZATION,4.8,Beginner,98k
128,Машинное обучение и анализ данных,"University of California, Davis",SPECIALIZATION,4.6,Beginner,150k
409,Основы Digital Маркетинга,The University of Edinburgh,COURSE,4.6,Beginner,220k
841,Основы программирования на Python,Google AR & VR,COURSE,4.5,Beginner,50k
690,Основы разработки на C++: белый пояс,The State University of New York,COURSE,4.6,Intermediate,4.2k
264,Программирование на Python,Stanford University,COURSE,4.9,Beginner,52k
830,Разработка веб-сервисов на Go - основы языка,University of Minnesota,COURSE,4.7,Mixed,21k
614,Разработка интерфейсов: вёрстка и JavaScript,University of Michigan,COURSE,4.8,Intermediate,18k
188,Финансовые инструменты для частного инвестора,University of Pennsylvania,COURSE,4.7,Beginner,50k
834,Цифровой SMM-проект: виртуальная платформа для бизнес-коммуникаций,University of Illinois at Urbana-Champaign,COURSE,4.8,Beginner,5.3k
611,程序设计与算法,University of Colorado Boulder,COURSE,4.8,Beginner,10k
